,0,1,2,3,4,5,6,7,8,9
0,453,1,1,11,0,0,0,0,0,0
1,18,417,0,4,0,0,2,0,1,0
2,0,1,396,4,17,0,0,0,0,0
3,9,3,15,330,0,0,0,0,0,0
4,0,2,1,0,277,5,0,0,0,0
5,0,0,0,0,2,236,0,0,0,0
6,0,6,0,0,0,0,89,0,0,0
7,0,0,1,0,0,0,0,74,0,0
8,0,0,1,0,0,0,0,0,32,0
9,0,0,1,0,0,0,0,0,0,24
