gene,stage_plot,average_expression,percent_expressing,term_group,go_id,also_in_other_term
Cst11,Aire-positive,0.0188531227090818,1.21506682867558,Androgen_receptor_signaling,GO:0030521,FALSE
Cst11,Late-Aire,0.00137534738944842,0.37243947858473,Androgen_receptor_signaling,GO:0030521,FALSE
Cst11,Tuft,0,0,Androgen_receptor_signaling,GO:0030521,FALSE
Cyp7b1,cTEC,0.0913317587528626,9.2436974789916,Estrogen_receptor_signaling,GO:0030520,FALSE
Cyp7b1,Ccl21a-high,0.077295282398017,14.0350877192982,Estrogen_receptor_signaling,GO:0030520,FALSE
Cyp7b1,TAC-TEC,0.110339658459993,23.9234449760766,Estrogen_receptor_signaling,GO:0030520,FALSE
Cyp7b1,Aire-positive,0.0681091173282453,13.730255164034,Estrogen_receptor_signaling,GO:0030520,FALSE
Cyp7b1,Late-Aire,0.0602132411333516,9.49720670391061,Estrogen_receptor_signaling,GO:0030520,FALSE
Cyp7b1,Tuft,0.0877758405590136,10.6666666666667,Estrogen_receptor_signaling,GO:0030520,FALSE
Dab2,cTEC,0.117809034436589,12.6050420168067,Androgen_receptor_signaling,GO:0030521,FALSE
Dab2,Ccl21a-high,0.0277984337538724,4.21052631578947,Androgen_receptor_signaling,GO:0030521,FALSE
Dab2,TAC-TEC,0.000700306181563861,0.239234449760766,Androgen_receptor_signaling,GO:0030521,FALSE
Dab2,Aire-positive,0.00770842341066671,0.729040097205346,Androgen_receptor_signaling,GO:0030521,FALSE
Dab2,Late-Aire,0.00186392898237056,0.37243947858473,Androgen_receptor_signaling,GO:0030521,FALSE
Dab2,Tuft,0,0,Androgen_receptor_signaling,GO:0030521,FALSE
Daxx,cTEC,0.149596094771545,19.327731092437,Androgen_receptor_signaling,GO:0030521,FALSE
Daxx,Ccl21a-high,0.226865028474535,33.6842105263158,Androgen_receptor_signaling,GO:0030521,FALSE
Daxx,TAC-TEC,0.127172346246275,28.4688995215311,Androgen_receptor_signaling,GO:0030521,FALSE
Daxx,Aire-positive,0.124287435107359,22.3572296476306,Androgen_receptor_signaling,GO:0030521,FALSE
Daxx,Late-Aire,0.196851841050096,29.2364990689013,Androgen_receptor_signaling,GO:0030521,FALSE
Daxx,Tuft,0.126983462120646,18.6666666666667,Androgen_receptor_signaling,GO:0030521,FALSE
Ddrgk1,cTEC,0.44427003476801,46.218487394958,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddrgk1,Ccl21a-high,0.392138624760705,48.7719298245614,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddrgk1,TAC-TEC,0.404577587656898,61.7224880382775,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddrgk1,Aire-positive,0.389812474031046,55.2855407047388,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddrgk1,Late-Aire,0.471028517833772,54.0037243947858,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddrgk1,Tuft,0.515471393282369,57.3333333333333,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddx17,cTEC,0.439655279968396,44.9579831932773,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx17,cTEC,0.439655279968396,44.9579831932773,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx17,Ccl21a-high,0.380465883962457,47.0175438596491,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx17,Ccl21a-high,0.380465883962457,47.0175438596491,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx17,TAC-TEC,0.343823257962308,57.4162679425837,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx17,TAC-TEC,0.343823257962308,57.4162679425837,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx17,Aire-positive,0.377017036515671,50.3037667071689,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx17,Aire-positive,0.377017036515671,50.3037667071689,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx17,Late-Aire,0.483622838675901,55.3072625698324,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx17,Late-Aire,0.483622838675901,55.3072625698324,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx17,Tuft,0.997355242995911,84,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx17,Tuft,0.997355242995911,84,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx5,cTEC,1.72172354597532,93.2773109243697,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx5,cTEC,1.72172354597532,93.2773109243697,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx5,Ccl21a-high,2.06859482937766,97.8947368421053,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx5,Ccl21a-high,2.06859482937766,97.8947368421053,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx5,TAC-TEC,1.92565840080253,98.5645933014354,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx5,TAC-TEC,1.92565840080253,98.5645933014354,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx5,Aire-positive,1.79003126320287,96.2332928311057,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx5,Aire-positive,1.79003126320287,96.2332928311057,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx5,Late-Aire,1.95408421196021,97.3929236499069,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx5,Late-Aire,1.95408421196021,97.3929236499069,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx5,Tuft,2.14951175768765,97.3333333333333,Androgen_receptor_signaling,GO:0030521,TRUE
Ddx5,Tuft,2.14951175768765,97.3333333333333,Estrogen_receptor_signaling,GO:0030520,TRUE
Ddx54,cTEC,0.191028792291224,23.109243697479,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddx54,Ccl21a-high,0.294653259683613,41.4035087719298,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddx54,TAC-TEC,0.334762747225772,57.8947368421053,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddx54,Aire-positive,0.26729836728404,41.6767922235723,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddx54,Late-Aire,0.310336511578184,42.0856610800745,Estrogen_receptor_signaling,GO:0030520,FALSE
Ddx54,Tuft,0.272379445689264,33.3333333333333,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa17,cTEC,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa17,Ccl21a-high,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa17,TAC-TEC,0.00294634397917908,0.717703349282297,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa17,Aire-positive,0.0105776115092093,0.607533414337789,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa17,Late-Aire,0.00460219643845369,0.37243947858473,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa17,Tuft,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa23,cTEC,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
Defa23,Ccl21a-high,0,0,Estrogen_receptor_signaling,GO:0030520,FALSE
