score_label,term_name,go_id,input_genes,present_genes,present_gene_symbols
Estrogen_receptor_signaling,GOBP_ESTROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030520,61,53,Ar;Brca1;Carm1;Ccdc62;Cdk12;Cnot1;Cnot2;Cyp7b1;Ddrgk1;Ddx17;Ddx5;Ddx54;Defa17;Defa23;Defa3;Egln2;Esr1;Esr2;Foxa1;Hdac1;Hdac2;Hdac6;Isl1;Kank2;Kmt2d;Lats1;Lbh;Med1;Ncoa1;Ncoa4;Padi2;Pagr1a;Pak1;Parp1;Phb2;Pou4f2;Ppargc1b;Rbfox2;Safb;Skp2;Src;Strn3;Tada3;Taf7;Trip4;Trp63;Uba5;Ufl1;Ufm1;Ufsp2;Vps11;Vps18;Wbp2
Androgen_receptor_signaling,GOBP_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY,GO:0030521,50,47,Ar;Cst11;Dab2;Daxx;Ddx17;Ddx5;Ep300;Fkbp4;Foxp1;Hdac1;Hdac6;Heyl;Igf1;Kdm1a;Kdm3a;Kdm4c;Kdm5d;Ncor1;Ncor2;Nkx3-1;Nodal;Park7;Phb;Pias2;Pkn1;Plpp1;Pmepa1;Prmt2;Rhoa;Rnf14;Rnf6;Rwdd1;Safb2;Scgb2a2;Sfrp1;Shq1;Sirt1;Smarca4;Taf1;Tcf7l2;Tmf1;Trim68;Ube3a;Usp26;Zbtb7a;Zdhhc7;Zmiz1
