,cTEC,Ccl21a-high,TAC-TEC,Aire-positive,Late-Aire,Tuft
Ar,0.438597134750029,0.27270452968642,0.179757242084548,0.155321277144729,0.144527626574743,0.0672811238590128
Esr1,0.0343858416487324,0.058470892602551,0.0210751560096587,0.0277266420677502,0.0124800589944572,0.00664561377917412
Esr2,0,0,0,0.00960541999008933,0.000383812889145501,0
Gper1,0.0231160910667815,0.00158445588616455,0.0123118592070202,0.0109970753909995,0.0020941338482979,0
Pgr,0.113475816203175,0.0289891877240001,0.0101493568052082,0.0219735727966796,0.0116649191283523,0
